Jurisdiction Slug (Do not change),Permit Type Name (Do not change),Permit Type Code (Do not change),"Energy Step Required (0, 3, 4, or 5)","Zero Carbon Step Required (0, 1, 2, 3, or 4)"
corporation-of-the-city-of-port-coquitlam,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-port-coquitlam,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-rossland,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-rossland,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-vernon,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-vernon,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-victoria,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-victoria,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-white-rock,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-white-rock,4+ Unit housing,medium_residential,,
corporation-of-the-district-of-central-saanich,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-district-of-central-saanich,4+ Unit housing,medium_residential,,
corporation-of-the-district-of-coldstream,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-district-of-coldstream,4+ Unit housing,medium_residential,,
corporation-of-the-district-of-kent,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-district-of-kent,4+ Unit housing,medium_residential,,
corporation-of-the-district-of-north-cowichan,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-district-of-north-cowichan,4+ Unit housing,medium_residential,,
corporation-of-the-district-of-north-vancouver,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-district-of-north-vancouver,4+ Unit housing,medium_residential,,
corporation-of-the-district-of-oak-bay,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-district-of-oak-bay,4+ Unit housing,medium_residential,,
corporation-of-the-district-of-peachland,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-district-of-peachland,4+ Unit housing,medium_residential,,
corporation-of-the-district-of-saanich,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-district-of-saanich,4+ Unit housing,medium_residential,,
corporation-of-the-district-of-summerland,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-district-of-summerland,4+ Unit housing,medium_residential,,
corporation-of-the-district-of-west-vancouver,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-district-of-west-vancouver,4+ Unit housing,medium_residential,,
corporation-of-the-township-of-esquimalt,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-township-of-esquimalt,4+ Unit housing,medium_residential,,
corporation-of-the-township-of-langley,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-township-of-langley,4+ Unit housing,medium_residential,,
corporation-of-the-township-of-spallumcheen,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-township-of-spallumcheen,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-alert-bay,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-alert-bay,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-ashcroft,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-ashcroft,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-burns-lake,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-burns-lake,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-cumberland,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-cumberland,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-fruitvale,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-fruitvale,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-hazelton,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-hazelton,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-keremeos,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-keremeos,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-lumby,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-lumby,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-lytton,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-lytton,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-mcbride,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-mcbride,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-montrose,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-montrose,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-new-denver,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-new-denver,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-pouce-coupe,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-pouce-coupe,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-salmo,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-salmo,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-silverton,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-silverton,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-telkwa,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-telkwa,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-warfield,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-warfield,4+ Unit housing,medium_residential,,
corporation-of-the-village-of-zeballos,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-village-of-zeballos,4+ Unit housing,medium_residential,,
district-of-100-mile-house,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-100-mile-house,4+ Unit housing,medium_residential,,
district-of-barriere,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-barriere,4+ Unit housing,medium_residential,,
district-of-chetwynd,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-chetwynd,4+ Unit housing,medium_residential,,
district-of-clearwater,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-clearwater,4+ Unit housing,medium_residential,,
district-of-elkford,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-elkford,4+ Unit housing,medium_residential,,
district-of-fort-st-james,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-fort-st-james,4+ Unit housing,medium_residential,,
district-of-highlands,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-highlands,4+ Unit housing,medium_residential,,
district-of-hope,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-hope,4+ Unit housing,medium_residential,,
district-of-houston,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-houston,4+ Unit housing,medium_residential,,
district-of-hudson-s-hope,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-hudson-s-hope,4+ Unit housing,medium_residential,,
district-of-invermere,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-invermere,4+ Unit housing,medium_residential,,
district-of-kitimat,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-kitimat,4+ Unit housing,medium_residential,,
district-of-lake-country,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-lake-country,4+ Unit housing,medium_residential,,
district-of-lantzville,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-lantzville,4+ Unit housing,medium_residential,,
district-of-lillooet,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-lillooet,4+ Unit housing,medium_residential,,
district-of-logan-lake,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-logan-lake,4+ Unit housing,medium_residential,,
district-of-mackenzie,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-mackenzie,4+ Unit housing,medium_residential,,
district-of-metchosin,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-metchosin,4+ Unit housing,medium_residential,,
district-of-new-hazelton,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-new-hazelton,4+ Unit housing,medium_residential,,
district-of-north-saanich,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-north-saanich,4+ Unit housing,medium_residential,,
district-of-port-edward,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-port-edward,4+ Unit housing,medium_residential,,
district-of-port-hardy,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-port-hardy,4+ Unit housing,medium_residential,,
district-of-sechelt,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-sechelt,4+ Unit housing,medium_residential,,
district-of-sechelt-indian-government,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-sechelt-indian-government,4+ Unit housing,medium_residential,,
district-of-sicamous,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-sicamous,4+ Unit housing,medium_residential,,
district-of-sooke,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-sooke,4+ Unit housing,medium_residential,,
district-of-sparwood,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-sparwood,4+ Unit housing,medium_residential,,
district-of-squamish,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-squamish,4+ Unit housing,medium_residential,,
district-of-stewart,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-stewart,4+ Unit housing,medium_residential,,
district-of-taylor,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-taylor,4+ Unit housing,medium_residential,,
district-of-tofino,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-tofino,4+ Unit housing,medium_residential,,
district-of-tumbler-ridge,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-tumbler-ridge,4+ Unit housing,medium_residential,,
district-of-ucluelet,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-ucluelet,4+ Unit housing,medium_residential,,
district-of-vanderhoof,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-vanderhoof,4+ Unit housing,medium_residential,,
district-of-wells,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
district-of-wells,4+ Unit housing,medium_residential,,
first-nation-of-musqueam-indian-band-x-muzk-i-um,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
first-nation-of-musqueam-indian-band-x-muzk-i-um,4+ Unit housing,medium_residential,,
first-nation-of-tsleil-waututh-nation,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
first-nation-of-tsleil-waututh-nation,4+ Unit housing,medium_residential,,
municipality-of-bowen-island,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
municipality-of-bowen-island,4+ Unit housing,medium_residential,,
regional-district-of-alberni-clayoquot,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-alberni-clayoquot,4+ Unit housing,medium_residential,,
regional-district-of-bulkley-nechako,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-bulkley-nechako,4+ Unit housing,medium_residential,,
regional-district-of-cariboo,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-cariboo,4+ Unit housing,medium_residential,,
regional-district-of-central-coast,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-central-coast,4+ Unit housing,medium_residential,,
regional-district-of-central-kootenay,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-central-kootenay,4+ Unit housing,medium_residential,,
regional-district-of-central-okanagan,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-central-okanagan,4+ Unit housing,medium_residential,,
regional-district-of-columbia-shuswap,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-columbia-shuswap,4+ Unit housing,medium_residential,,
regional-district-of-comox-valley,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-comox-valley,4+ Unit housing,medium_residential,,
regional-district-of-cowichan-valley,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-cowichan-valley,4+ Unit housing,medium_residential,,
regional-district-of-east-kootenay,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-east-kootenay,4+ Unit housing,medium_residential,,
regional-district-of-fraser-fort-george,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-fraser-fort-george,4+ Unit housing,medium_residential,,
regional-district-of-fraser-valley,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
